################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 22:20:42 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
26, top_santiago_cpu.uu_mem.\mem_reg[7][7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
27, top_santiago_cpu.uu_mem.\mem_reg[7][8] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
28, top_santiago_cpu.uu_mem.\mem_reg[7][9] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
29, top_santiago_cpu.uu_mem.\mem_reg[7][10] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
30, top_santiago_cpu.uu_mem.\mem_reg[7][11] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
31, top_santiago_cpu.uu_mem.\mem_reg[7][12] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
32, top_santiago_cpu.uu_mem.\mem_reg[7][13] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
33, top_santiago_cpu.uu_mem.\mem_reg[7][14] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
34, top_santiago_cpu.uu_mem.\mem_reg[7][15] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
35, top_santiago_cpu.uu_mem.\mem_reg[6][0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
36, top_santiago_cpu.uu_mem.\mem_reg[6][1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
37, top_santiago_cpu.uu_mem.\mem_reg[6][2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
38, top_santiago_cpu.uu_mem.\mem_reg[6][3] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
39, top_santiago_cpu.uu_mem.\mem_reg[6][4] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
40, top_santiago_cpu.uu_mem.\mem_reg[6][5] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
41, top_santiago_cpu.uu_mem.\mem_reg[6][6] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
42, top_santiago_cpu.uu_mem.\mem_reg[6][7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
43, top_santiago_cpu.uu_mem.\mem_reg[6][8] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
44, top_santiago_cpu.uu_mem.\mem_reg[6][9] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
45, top_santiago_cpu.uu_mem.\mem_reg[6][10] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
46, top_santiago_cpu.uu_mem.\mem_reg[6][11] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
47, top_santiago_cpu.uu_mem.\mem_reg[6][12] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
48, top_santiago_cpu.uu_mem.\mem_reg[6][13] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
49, top_santiago_cpu.uu_mem.\mem_reg[6][14] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
50, top_santiago_cpu.uu_mem.\mem_reg[6][15] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
51, top_santiago_cpu.uu_mem.\mem_reg[5][0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
52, top_santiago_cpu.uu_mem.\mem_reg[5][1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
53, top_santiago_cpu.uu_mem.\mem_reg[5][2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
54, top_santiago_cpu.uu_mem.\mem_reg[5][3] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
55, top_santiago_cpu.uu_mem.\mem_reg[5][4] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
56, top_santiago_cpu.uu_mem.\mem_reg[5][5] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
57, top_santiago_cpu.uu_mem.\mem_reg[5][6] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
58, top_santiago_cpu.uu_mem.\mem_reg[5][7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
59, top_santiago_cpu.uu_mem.\mem_reg[5][8] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
60, top_santiago_cpu.uu_mem.\mem_reg[5][9] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
61, top_santiago_cpu.uu_mem.\mem_reg[5][10] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
62, top_santiago_cpu.uu_mem.\mem_reg[5][11] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
63, top_santiago_cpu.uu_mem.\mem_reg[5][12] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
64, top_santiago_cpu.uu_mem.\mem_reg[5][13] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
65, top_santiago_cpu.uu_mem.\mem_reg[5][14] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
66, top_santiago_cpu.uu_mem.\mem_reg[5][15] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
67, top_santiago_cpu.uu_mem.\mem_reg[4][0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
68, top_santiago_cpu.uu_mem.\mem_reg[4][1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
69, top_santiago_cpu.uu_mem.\mem_reg[4][2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
70, top_santiago_cpu.uu_mem.\mem_reg[4][3] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
71, top_santiago_cpu.uu_mem.\mem_reg[4][4] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
72, top_santiago_cpu.uu_mem.\mem_reg[4][5] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
73, top_santiago_cpu.uu_mem.\mem_reg[4][6] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
74, top_santiago_cpu.uu_mem.\mem_reg[4][7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
75, top_santiago_cpu.uu_mem.\mem_reg[4][8] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
76, top_santiago_cpu.uu_mem.\mem_reg[4][9] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
77, top_santiago_cpu.uu_mem.\mem_reg[4][10] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
78, top_santiago_cpu.uu_mem.\mem_reg[4][11] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
79, top_santiago_cpu.uu_mem.\mem_reg[4][12] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
80, top_santiago_cpu.uu_mem.\mem_reg[4][13] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
81, top_santiago_cpu.uu_mem.\mem_reg[4][14] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
82, top_santiago_cpu.uu_mem.\mem_reg[4][15] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
83, top_santiago_cpu.uu_mem.\mem_reg[3][0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
84, top_santiago_cpu.uu_mem.\mem_reg[3][1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
85, top_santiago_cpu.uu_mem.\mem_reg[3][2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
86, top_santiago_cpu.uu_mem.\mem_reg[3][3] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
87, top_santiago_cpu.uu_mem.\mem_reg[3][4] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
88, top_santiago_cpu.uu_mem.\mem_reg[3][5] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
89, top_santiago_cpu.uu_mem.\mem_reg[3][6] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
90, top_santiago_cpu.uu_mem.\mem_reg[3][7] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
91, top_santiago_cpu.uu_mem.\mem_reg[3][8] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
92, top_santiago_cpu.uu_mem.\mem_reg[3][9] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
93, top_santiago_cpu.uu_mem.\mem_reg[3][10] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
94, top_santiago_cpu.uu_mem.\mem_reg[3][11] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
95, top_santiago_cpu.uu_mem.\mem_reg[3][12] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
96, top_santiago_cpu.uu_mem.\mem_reg[3][13] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
97, top_santiago_cpu.uu_mem.\mem_reg[3][14] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
98, top_santiago_cpu.uu_mem.\mem_reg[3][15] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
99, top_santiago_cpu.uu_mem.\mem_reg[2][0] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
100, top_santiago_cpu.uu_mem.\mem_reg[2][1] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
101, top_santiago_cpu.uu_mem.\mem_reg[2][2] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
102, top_santiago_cpu.uu_mem.\mem_reg[2][3] , 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X
